exposure,exposure_val,variable,level,n_unweighted,w,prop,prop_pct
csection,0,educ,1,563,553.20809,0.11001402919669104,11.001402919669104
csection,1,educ,1,35,34.494542,0.049680906727660255,4.968090672766025
csection,0,educ,2,2646,2487.328059999999,0.494643854204281,49.464385420428094
csection,1,educ,2,316,308.841442,0.4448101636959868,44.48101636959868
csection,0,educ,3,1020,976.074683000002,0.1941076253489228,19.41076253489228
csection,1,educ,3,278,265.78685499999995,0.3828006167669412,38.280061676694125
csection,0,educ,0,929,1011.9122929999978,0.20123449125010506,20.123449125010506
csection,1,educ,0,73,85.19906999999995,0.12270831280941183,12.270831280941183
csection,0,facility_sector,other_facility,894,853.1072870000007,0.16965364693044857,16.965364693044858
csection,1,facility_sector,other_facility,30,23.749534000000004,0.03420536453214532,3.4205364532145324
csection,0,facility_sector,private,1325,1270.3274429999974,0.25262436130237964,25.262436130237965
csection,1,facility_sector,private,334,320.5429679999995,0.46166333489557204,46.1663334895572
csection,0,facility_sector,public,2939,2905.0883960000087,0.5777219917671716,57.772199176717166
csection,1,facility_sector,public,338,350.0294069999997,0.5041313005722827,50.41313005722827
csection,0,region,1,718,1023.3426609999998,0.20350759763016738,20.350759763016736
csection,1,region,1,94,141.10298699999996,0.2032241603944547,20.32241603944547
csection,0,region,2,880,879.4214109999998,0.17488661958278512,17.488661958278513
csection,1,region,2,82,78.85790899999996,0.11357542946264709,11.35754294626471
csection,0,region,3,1086,975.3085180000015,0.19395526152741832,19.395526152741834
csection,1,region,3,144,122.73815400000005,0.17677413373974357,17.677413373974357
csection,0,region,4,993,669.4852199999998,0.1331375442102321,13.31375442102321
csection,1,region,4,98,64.35535999999998,0.09268807330693059,9.26880733069306
csection,0,region,5,690,595.4868089999997,0.11842180975981444,11.842180975981444
csection,1,region,5,121,101.67151599999998,0.1464328212636021,14.64328212636021
csection,0,region,6,791,885.4785070000008,0.17609116728958255,17.609116728958256
csection,1,region,6,163,185.59598299999996,0.2673053818326219,26.730538183262194
csection,0,sex,1,2659,2639.160429999996,0.5248380814546142,52.48380814546142
csection,1,sex,1,391,382.6097589999998,0.5510552872385307,55.10552872385307
csection,0,sex,2,2499,2389.362695999998,0.4751619185453858,47.51619185453858
csection,1,sex,2,311,311.71215,0.4489447127614694,44.894471276146945
csection,0,urban,1,2804,2857.7591120000034,0.5683098278347273,56.83098278347273
csection,1,urban,1,482,491.89751600000005,0.7084574310905118,70.84574310905118
csection,0,urban,0,2354,2170.764013999995,0.4316901721652728,43.16901721652728
csection,1,urban,0,220,202.42439299999984,0.29154256890948815,29.154256890948815
csection,0,wealth_q,1,548,531.0694790000003,0.10561142221939938,10.561142221939939
csection,1,wealth_q,1,32,29.153407000000005,0.04198831496184288,4.1988314961842885
csection,0,wealth_q,2,679,689.5607589999983,0.1371298772465858,13.712987724658579
csection,1,wealth_q,2,48,46.271756,0.06664308788216565,6.664308788216565
csection,0,wealth_q,3,1048,1003.5564990000012,0.19957281170908958,19.957281170908956
csection,1,wealth_q,3,88,85.014371,0.12244229931105347,12.244229931105346
csection,0,wealth_q,4,1401,1326.2434900000017,0.26374413655227186,26.374413655227187
csection,1,wealth_q,4,177,172.57771199999996,0.24855576320291517,24.85557632029152
csection,0,wealth_q,5,1482,1478.0928990000011,0.29394175227265334,29.394175227265336
csection,1,wealth_q,5,357,361.30466299999983,0.5203705346420229,52.03705346420229
