exposure,exposure_val,variable,level,n_unweighted,w,prop,prop_pct
skilled_attendant,0,educ,1,44,43.18557900000001,0.222030568363951,22.2030568363951
skilled_attendant,1,educ,1,554,544.5170530000001,0.09849554081021256,9.849554081021255
skilled_attendant,0,educ,2,93,91.357985,0.4696999740152911,46.96999740152911
skilled_attendant,1,educ,2,2869,2704.8115169999983,0.4892626809184729,48.92626809184729
skilled_attendant,0,educ,3,15,15.441033,0.07938717999164772,7.938717999164773
skilled_attendant,1,educ,3,1283,1226.4205049999996,0.2218423651475777,22.18423651475777
skilled_attendant,0,educ,0,49,44.518256,0.22888227762911015,22.888227762911015
skilled_attendant,1,educ,0,953,1052.5931069999976,0.1903994131237368,19.039941312373678
skilled_attendant,0,facility_sector,other_facility,107,93.65762499999998,0.48152314249087136,48.152314249087134
skilled_attendant,1,facility_sector,other_facility,817,783.1991960000008,0.14166981171137658,14.166981171137657
skilled_attendant,0,facility_sector,private,29,30.846838,0.15859324181738357,15.859324181738357
skilled_attendant,1,facility_sector,private,1630,1560.0235729999986,0.28218650757171937,28.218650757171936
skilled_attendant,0,facility_sector,public,65,69.99838999999999,0.35988361569174515,35.988361569174515
skilled_attendant,1,facility_sector,public,3212,3185.1194130000013,0.5761436807169041,57.614368071690414
skilled_attendant,0,region,1,23,35.74007199999999,0.18375088821961902,18.375088821961903
skilled_attendant,1,region,1,789,1128.7055760000067,0.20416709726742543,20.416709726742543
skilled_attendant,0,region,2,51,45.746511,0.23519712073323673,23.519712073323674
skilled_attendant,1,region,2,911,912.5328089999994,0.16506445855887109,16.506445855887108
skilled_attendant,0,region,3,22,21.548117000000005,0.110785608887701,11.0785608887701
skilled_attendant,1,region,3,1208,1076.4985550000022,0.19472357527090578,19.47235752709058
skilled_attendant,0,region,4,57,44.53655000000001,0.22897633280474303,22.897633280474302
skilled_attendant,1,region,4,1034,689.3040299999994,0.12468548568580598,12.468548568580598
skilled_attendant,0,region,5,18,13.444403999999999,0.06912188583681082,6.912188583681083
skilled_attendant,1,region,5,793,683.7139209999992,0.12367431292985731,12.367431292985732
skilled_attendant,0,region,6,30,33.48719899999999,0.1721681635178893,17.21681635178893
skilled_attendant,1,region,6,924,1037.5872910000016,0.1876850702871344,18.76850702871344
skilled_attendant,0,sex,1,107,111.36767799999997,0.5725760639613856,57.25760639613856
skilled_attendant,1,sex,1,2943,2910.4025109999934,0.5264512244694475,52.64512244694475
skilled_attendant,0,sex,2,94,83.135175,0.4274239360386144,42.74239360386144
skilled_attendant,1,sex,2,2716,2617.939671,0.4735487755305526,47.35487755305526
skilled_attendant,0,urban,1,73,78.18277099999999,0.4019620781603651,40.19620781603651
skilled_attendant,1,urban,1,3213,3271.473856999994,0.591763995298944,59.1763995298944
skilled_attendant,0,urban,0,128,116.32008199999999,0.598037921839635,59.8037921839635
skilled_attendant,1,urban,0,2446,2256.8683249999926,0.408236004701056,40.823600470105596
skilled_attendant,0,wealth_q,1,38,32.027953999999994,0.1646657285793129,16.46657285793129
skilled_attendant,1,wealth_q,1,542,528.1949320000004,0.09554309675688602,9.554309675688602
skilled_attendant,0,wealth_q,2,52,51.869498,0.2666773119261135,26.66773119261135
skilled_attendant,1,wealth_q,2,675,683.9630169999986,0.12371937092225355,12.371937092225355
skilled_attendant,0,wealth_q,3,57,54.68667600000002,0.2811613051249177,28.11613051249177
skilled_attendant,1,wealth_q,3,1079,1033.884194000001,0.18701523168487563,18.70152316848756
skilled_attendant,0,wealth_q,4,28,25.632167,0.13178298726548754,13.178298726548753
skilled_attendant,1,wealth_q,4,1550,1473.189035000002,0.2664793506806851,26.647935068068513
skilled_attendant,0,wealth_q,5,26,30.286558,0.15571266710416837,15.571266710416836
skilled_attendant,1,wealth_q,5,1813,1809.111003999998,0.3272429499552996,32.72429499552996
