variable,type,label,labelset,dataset_label
caseid,character,case identification,NA,NA
bidx,numeric,birth column number,NA,NA
v000,character,country code and phase,NA,NA
v001,numeric,cluster number,NA,NA
v002,numeric,household number,NA,NA
v003,numeric,respondent's line number,NA,NA
v004,numeric,ultimate area unit,NA,NA
v005,numeric,women's individual sample weight (6 decimals),NA,NA
v006,numeric,month of interview,NA,NA
v007,numeric,year of interview,NA,NA
v008,numeric,date of interview (cmc),NA,NA
v008a,numeric,date of interview century day code (cdc),NA,NA
v009,numeric,respondent's month of birth,NA,NA
v010,numeric,respondent's year of birth,NA,NA
v011,numeric,date of birth (cmc),NA,NA
v012,numeric,respondent's current age,NA,NA
v013,haven_labelled|vctrs_vctr|double,age in 5-year groups,NA,NA
v014,haven_labelled|vctrs_vctr|double,completeness of age information,NA,NA
v015,haven_labelled|vctrs_vctr|double,result of individual interview,NA,NA
v016,numeric,day of interview,NA,NA
v017,numeric,cmc start of calendar,NA,NA
v018,haven_labelled|vctrs_vctr|double,row of month of interview,NA,NA
v019,haven_labelled|vctrs_vctr|double,length of calendar,NA,NA
v019a,haven_labelled|vctrs_vctr|double,number of calendar columns,NA,NA
v020,haven_labelled|vctrs_vctr|double,ever-married sample,NA,NA
v021,numeric,primary sampling unit,NA,NA
v022,haven_labelled|vctrs_vctr|double,sample strata for sampling errors,NA,NA
v023,haven_labelled|vctrs_vctr|double,stratification used in sample design,NA,NA
v024,haven_labelled|vctrs_vctr|double,zone (code are as per sample frame),NA,NA
v025,haven_labelled|vctrs_vctr|double,type of place of residence,NA,NA
v026,haven_labelled|vctrs_vctr|double,na - de facto place of residence,NA,NA
v027,numeric,number of visits,NA,NA
v028,numeric,interviewer identification,NA,NA
v029,numeric,na - keyer identification,NA,NA
v030,numeric,field supervisor,NA,NA
v031,numeric,na - field editor,NA,NA
v032,numeric,na - office editor,NA,NA
v034,haven_labelled|vctrs_vctr|double,line number of husband,NA,NA
v040,numeric,cluster altitude in meters,NA,NA
v042,haven_labelled|vctrs_vctr|double,household selected for hemoglobin,NA,NA
v044,haven_labelled|vctrs_vctr|double,selected for domestic violence module,NA,NA
v045a,haven_labelled|vctrs_vctr|double,language of questionnaire,NA,NA
v045b,haven_labelled|vctrs_vctr|double,language of interview,NA,NA
v045c,haven_labelled|vctrs_vctr|double,native language of respondent,NA,NA
v046,haven_labelled|vctrs_vctr|double,translator used,NA,NA
v047,numeric,team number,NA,NA
v048,numeric,team supervisor,NA,NA
v101,haven_labelled|vctrs_vctr|double,zone (codes are as per sample frame),NA,NA
v102,haven_labelled|vctrs_vctr|double,type of place of residence,NA,NA
v103,haven_labelled|vctrs_vctr|double,na - childhood place of residence,NA,NA
v104,haven_labelled|vctrs_vctr|double,years lived in place of residence,NA,NA
v105,haven_labelled|vctrs_vctr|double,type of place of previous residence,NA,NA
v105a,haven_labelled|vctrs_vctr|double,zone of previous residence,NA,NA
v106,haven_labelled|vctrs_vctr|double,highest educational level,NA,NA
v107,haven_labelled|vctrs_vctr|double,highest year of education,NA,NA
v113,haven_labelled|vctrs_vctr|double,source of drinking water,NA,NA
v115,haven_labelled|vctrs_vctr|double,time to get to water source,NA,NA
v116,haven_labelled|vctrs_vctr|double,type of toilet facility,NA,NA
v119,haven_labelled|vctrs_vctr|double,household has: electricity,NA,NA
v120,haven_labelled|vctrs_vctr|double,household has: radio,NA,NA
v121,haven_labelled|vctrs_vctr|double,household has: television,NA,NA
v122,haven_labelled|vctrs_vctr|double,household has: refrigerator,NA,NA
v123,haven_labelled|vctrs_vctr|double,household has: bicycle,NA,NA
v124,haven_labelled|vctrs_vctr|double,household has: motorcycle/scooter,NA,NA
v125,haven_labelled|vctrs_vctr|double,household has: car/truck,NA,NA
v127,haven_labelled|vctrs_vctr|double,main floor material,NA,NA
v128,haven_labelled|vctrs_vctr|double,main wall material,NA,NA
v129,haven_labelled|vctrs_vctr|double,main roof material,NA,NA
v130,haven_labelled|vctrs_vctr|double,religion,NA,NA
v131,haven_labelled|vctrs_vctr|double,ethnicity,NA,NA
v133,haven_labelled|vctrs_vctr|double,education in single years,NA,NA
v134,haven_labelled|vctrs_vctr|double,na - de facto place of residence,NA,NA
v135,haven_labelled|vctrs_vctr|double,usual resident or visitor,NA,NA
v136,numeric,number of household members (listed),NA,NA
v137,numeric,number of children 5 and under in household (de jure),NA,NA
v138,numeric,number of eligible women in household (de facto),NA,NA
v139,haven_labelled|vctrs_vctr|double,de jure region of residence,NA,NA
v140,haven_labelled|vctrs_vctr|double,de jure type of place of residence,NA,NA
v141,haven_labelled|vctrs_vctr|double,na - de jure place of residence,NA,NA
v149,haven_labelled|vctrs_vctr|double,educational attainment,NA,NA
v150,haven_labelled|vctrs_vctr|double,relationship to household head,NA,NA
v151,haven_labelled|vctrs_vctr|double,sex of household head,NA,NA
v152,haven_labelled|vctrs_vctr|double,age of household head,NA,NA
v153,haven_labelled|vctrs_vctr|double,household has: telephone (land-line),NA,NA
awfactt,numeric,all woman factor - total,NA,NA
awfactu,numeric,all woman factor - urban/rural,NA,NA
awfactr,numeric,all woman factor - regional,NA,NA
awfacte,numeric,all woman factor - educational,NA,NA
awfactw,numeric,all woman factor - wealth index,NA,NA
v155,haven_labelled|vctrs_vctr|double,literacy,NA,NA
v156,haven_labelled|vctrs_vctr|double,na - ever participated in a literacy program outside of primary,NA,NA
v157,haven_labelled|vctrs_vctr|double,frequency of reading newspaper or magazine,NA,NA
v158,haven_labelled|vctrs_vctr|double,frequency of listening to radio,NA,NA
v159,haven_labelled|vctrs_vctr|double,frequency of watching television,NA,NA
v160,haven_labelled|vctrs_vctr|double,toilet facilities shared with other households,NA,NA
v161,haven_labelled|vctrs_vctr|double,type of cooking fuel,NA,NA
v166,haven_labelled|vctrs_vctr|double,na - result of salt test for iodine,NA,NA
v167,haven_labelled|vctrs_vctr|double,na - number of trips in last 12 months,NA,NA
v168,haven_labelled|vctrs_vctr|double,na - away for more than one month in last 12 months,NA,NA
v169a,haven_labelled|vctrs_vctr|double,owns a mobile telephone,NA,NA
v169b,haven_labelled|vctrs_vctr|double,last 12 months use mobile telephone for financial transactions,NA,NA
v169c,haven_labelled|vctrs_vctr|double,is respondent's mobile phone a smart phone,NA,NA
v170,haven_labelled|vctrs_vctr|double,has an account in a bank or other financial institution,NA,NA
v171a,haven_labelled|vctrs_vctr|double,use of internet,NA,NA
v171b,haven_labelled|vctrs_vctr|double,frequency of using internet last month,NA,NA
v172,haven_labelled|vctrs_vctr|double,respondent state of birth,NA,NA
v173,haven_labelled|vctrs_vctr|double,respondent country of birth,NA,NA
v174m,haven_labelled|vctrs_vctr|double,month move to current place of residence,NA,NA
v174y,haven_labelled|vctrs_vctr|double,year move to current place of residence,NA,NA
v175,haven_labelled|vctrs_vctr|double,reason for moving to current place of residence,NA,NA
v176,haven_labelled|vctrs_vctr|double,self reported health status,NA,NA
v177,haven_labelled|vctrs_vctr|double,money put/taken from bank account last 12 months,NA,NA
v190,haven_labelled|vctrs_vctr|double,wealth index combined,NA,NA
v191,numeric,wealth index factor score combined (5 decimals),NA,NA
v190a,haven_labelled|vctrs_vctr|double,wealth index for urban/rural,NA,NA
v191a,numeric,wealth index factor score for urban/rural (5 decimals),NA,NA
ml101,haven_labelled|vctrs_vctr|double,type of mosquito bed net(s) slept under last night,NA,NA
v201,numeric,total children ever born,NA,NA
v202,numeric,sons at home,NA,NA
v203,numeric,daughters at home,NA,NA
v204,numeric,sons elsewhere,NA,NA
v205,numeric,daughters elsewhere,NA,NA
v206,numeric,sons who have died,NA,NA
v207,numeric,daughters who have died,NA,NA
v208,haven_labelled|vctrs_vctr|double,births in last five years,NA,NA
v209,haven_labelled|vctrs_vctr|double,births in past year,NA,NA
v210,numeric,births in month of interview,NA,NA
v211,numeric,date of first birth (cmc),NA,NA
v212,numeric,age of respondent at 1st birth,NA,NA
v213,haven_labelled|vctrs_vctr|double,currently pregnant,NA,NA
v214,numeric,duration of current pregnancy in months,NA,NA
v214a,haven_labelled|vctrs_vctr|double,duration of current pregnancy original,NA,NA
v215,haven_labelled|vctrs_vctr|double,time since last menstrual period,NA,NA
v216,haven_labelled|vctrs_vctr|double,menstruated in last six weeks,NA,NA
v217,haven_labelled|vctrs_vctr|double,knowledge of ovulatory cycle,NA,NA
v218,numeric,number of living children,NA,NA
v219,numeric,living children + current pregnancy,NA,NA
v220,haven_labelled|vctrs_vctr|double,living children + current pregnancy (grouped),NA,NA
v221,haven_labelled|vctrs_vctr|double,marriage to first birth interval (months),NA,NA
v222,numeric,last birth to interview (months),NA,NA
v223,haven_labelled|vctrs_vctr|double,completeness of current pregnancy information,NA,NA
v224,numeric,entries in birth history,NA,NA
v225,haven_labelled|vctrs_vctr|double,current pregnancy wanted,NA,NA
v226,haven_labelled|vctrs_vctr|double,time since last period (comp) (months),NA,NA
v227,haven_labelled|vctrs_vctr|double,flag for last period,NA,NA
v228,haven_labelled|vctrs_vctr|double,ever had a terminated pregnancy,NA,NA
v229,haven_labelled|vctrs_vctr|double,month pregnancy ended,NA,NA
v230,haven_labelled|vctrs_vctr|double,year pregnancy ended,NA,NA
v231,haven_labelled|vctrs_vctr|double,cmc pregnancy ended,NA,NA
v232,haven_labelled|vctrs_vctr|double,completeness of last termination information,NA,NA
v233,haven_labelled|vctrs_vctr|double,months when pregnancy ended,NA,NA
v234,haven_labelled|vctrs_vctr|double,other such pregnancies,NA,NA
v235,haven_labelled|vctrs_vctr|double,index last child prior to maternity-health (calendar),NA,NA
v237,haven_labelled|vctrs_vctr|double,birth between last and interview,NA,NA
v238,numeric,births in last three years,NA,NA
v239,haven_labelled|vctrs_vctr|double,pregnancies terminated before calendar beginning,NA,NA
v240,haven_labelled|vctrs_vctr|double,month of last termination prior to calendar,NA,NA
v241,haven_labelled|vctrs_vctr|double,year of last termination prior to calendar,NA,NA
v242,haven_labelled|vctrs_vctr|double,cmc termination ended prior to calendar,NA,NA
v243,haven_labelled|vctrs_vctr|double,completeness of last termination date prior to calendar,NA,NA
v244,haven_labelled|vctrs_vctr|double,can women get pregnant after birth and before period,NA,NA
v245,numeric,pregnancy losses,NA,NA
v246,numeric,entries in pregnancy history,NA,NA
v247a,haven_labelled|vctrs_vctr|double,collection of menstrual blood: reusable sanitary pads,NA,NA
v247b,haven_labelled|vctrs_vctr|double,collection of menstrual blood: disposable sanitary pads,NA,NA
v247c,haven_labelled|vctrs_vctr|double,collection of menstrual blood: tampons,NA,NA
v247d,haven_labelled|vctrs_vctr|double,collection of menstrual blood: menstrual cup,NA,NA
v247e,haven_labelled|vctrs_vctr|double,collection of menstrual blood: cloth,NA,NA
v247f,haven_labelled|vctrs_vctr|double,collection of menstrual blood: toilet paper,NA,NA
v247g,haven_labelled|vctrs_vctr|double,collection of menstrual blood: cotton wool,NA,NA
v247h,haven_labelled|vctrs_vctr|double,collection of menstrual blood: underwear only,NA,NA
v247i,haven_labelled|vctrs_vctr|double,na - collection of menstrual blood: cs,NA,NA
v247j,haven_labelled|vctrs_vctr|double,na - collection of menstrual blood: cs,NA,NA
v247k,haven_labelled|vctrs_vctr|double,na - collection of menstrual blood: cs,NA,NA
v247l,haven_labelled|vctrs_vctr|double,na - collection of menstrual blood: cs,NA,NA
